Increments,Abscissas in mm,Ordinates in mm,Grey values
731,8.406,3.009,53404
732,8.413,3.013,52802
733,8.419,3.016,52453
734,8.426,3.020,51938
735,8.432,3.024,51738
736,8.439,3.027,51482
737,8.445,3.031,51446
738,8.452,3.035,51406
739,8.458,3.038,51498
740,8.465,3.042,51657
741,8.471,3.046,51940
742,8.478,3.050,52223
743,8.484,3.054,52564
744,8.491,3.057,52805
745,8.497,3.061,52945
746,8.504,3.065,52868
747,8.511,3.069,52764
748,8.517,3.073,52083
749,8.524,3.077,51468
750,8.530,3.081,49711
751,8.537,3.085,47256
752,8.543,3.089,45627
753,8.550,3.093,42545
754,8.556,3.097,40774
755,8.563,3.101,37787
756,8.569,3.105,35089
757,8.576,3.109,33758
758,8.582,3.113,31665
759,8.589,3.117,29984
760,8.595,3.121,29286
761,8.602,3.125,28283
762,8.608,3.129,27962
763,8.615,3.133,27534
764,8.621,3.137,27357
765,8.628,3.142,27395
766,8.634,3.146,27490
767,8.641,3.150,27808
768,8.647,3.154,28177
769,8.654,3.159,29030
770,8.660,3.163,30329
771,8.667,3.167,31285
772,8.673,3.171,33279
773,8.680,3.176,35689
774,8.686,3.180,37209
775,8.693,3.185,40166
776,8.699,3.189,43375
777,8.706,3.193,45246
778,8.712,3.198,48491
779,8.719,3.202,51338
780,8.725,3.207,52648
781,8.732,3.211,54242
782,8.738,3.216,54954
783,8.745,3.220,55029
784,8.751,3.225,54540
785,8.758,3.229,53225
786,8.764,3.234,51071
787,8.771,3.238,49552
788,8.777,3.243,46548
789,8.784,3.248,43442
790,8.790,3.252,41761
791,8.797,3.257,38993
792,8.803,3.262,36620
793,8.810,3.266,34722
794,8.816,3.271,33914
795,8.823,3.276,32819
796,8.829,3.281,32184
797,8.836,3.285,32021
798,8.842,3.290,31879
799,8.849,3.295,31955
800,8.855,3.300,32282
801,8.862,3.305,32661
802,8.868,3.310,33600
803,8.875,3.315,35023
804,8.881,3.320,36932
805,8.888,3.325,38294
806,8.894,3.330,40832
807,8.901,3.335,43609
808,8.907,3.340,46474
809,8.914,3.345,49223
810,8.920,3.350,50763
811,8.927,3.355,52815
812,8.933,3.360,54171
813,8.940,3.365,54837
814,8.946,3.370,55001
815,8.953,3.375,54769
816,8.959,3.381,53971
817,8.966,3.386,52528
818,8.972,3.391,50472
819,8.979,3.396,48719
820,8.985,3.402,45979
821,8.992,3.407,43156
822,8.998,3.412,40388
823,9.005,3.418,37764
824,9.012,3.423,35359
825,9.018,3.428,33576
826,9.025,3.434,31672
827,9.031,3.439,30108
828,9.038,3.445,28886
829,9.044,3.450,27990
830,9.051,3.456,27388
831,9.057,3.461,26940
832,9.064,3.467,26738
833,9.070,3.473,26703
834,9.077,3.478,26816
835,9.083,3.484,27088
836,9.090,3.490,27550
837,9.096,3.495,28251
838,9.103,3.501,29262
839,9.109,3.507,30010
840,9.116,3.512,31697
841,9.122,3.518,33852
842,9.129,3.524,36466
843,9.135,3.530,39464
844,9.142,3.536,42690
845,9.148,3.542,45915
846,9.155,3.548,48864
847,9.161,3.554,51284
848,9.168,3.560,53034
849,9.174,3.566,54147
850,9.181,3.572,54704
851,9.187,3.578,55149
852,9.194,3.584,55388
853,9.200,3.590,55485
854,9.207,3.596,55467
855,9.213,3.602,55345
856,9.220,3.608,55111
857,9.226,3.615,54725
858,9.233,3.621,54096
859,9.239,3.627,53066
860,9.246,3.633,51471
861,9.252,3.640,49252
862,9.259,3.646,46502
863,9.265,3.653,43436
864,9.272,3.659,40295
865,9.278,3.665,37287
866,9.285,3.672,34570
867,9.282,3.670,35824
868,9.289,3.676,33299
869,9.295,3.683,31206
870,9.302,3.689,29576
871,9.308,3.696,28384
872,9.315,3.702,27573
873,9.321,3.709,27073
874,9.327,3.715,26808
875,9.334,3.722,26718
876,9.340,3.728,26770
877,9.346,3.735,26966
878,9.352,3.741,27352
879,9.359,3.748,28012
880,9.365,3.754,29033
881,9.371,3.761,30483
882,9.377,3.767,32402
883,9.383,3.774,34807
884,9.389,3.780,37657
885,9.395,3.787,39193
886,9.401,3.793,42460
887,9.407,3.800,45685
888,9.413,3.806,48582
889,9.419,3.813,50904
890,9.425,3.819,52536
891,9.431,3.826,53541
892,9.437,3.832,54115
893,9.442,3.839,54448
894,9.448,3.845,54650
895,9.454,3.852,54725
896,9.460,3.858,54818
897,9.465,3.865,54888
898,9.471,3.871,54964
899,9.477,3.878,55044
900,9.482,3.884,55114
901,9.488,3.891,55154
902,9.494,3.897,55136
903,9.499,3.904,55177
904,9.505,3.910,54988
905,9.510,3.917,54531
906,9.516,3.923,53629
907,9.521,3.930,52110
908,9.527,3.936,49922
909,9.532,3.943,49097
910,9.537,3.949,46254
911,9.543,3.956,43215
912,9.548,3.962,40229
913,9.553,3.969,37483
914,9.559,3.975,35075
915,9.564,3.982,34551
916,9.569,3.988,32628
917,9.574,3.995,31039
918,9.580,4.002,29760
919,9.585,4.008,28773
920,9.590,4.015,28727
921,9.595,4.021,28113
922,9.600,4.028,27745
923,9.605,4.034,27588
924,9.610,4.041,27605
925,9.616,4.047,27885
926,9.621,4.054,28130
927,9.626,4.060,28570
928,9.631,4.067,29247
929,9.636,4.073,29803
930,9.641,4.080,30883
931,9.645,4.086,32306
932,9.650,4.093,34122
933,9.655,4.099,35251
934,9.660,4.106,37686
935,9.665,4.112,40493
936,9.670,4.119,43514
937,9.675,4.125,45024
938,9.679,4.132,47852
939,9.684,4.138,50231
940,9.689,4.145,51966
941,9.694,4.151,52455
942,9.698,4.158,53223
943,9.703,4.164,53571
944,9.708,4.171,53511
945,9.712,4.177,53519
946,9.717,4.184,53381
947,9.722,4.190,53104
948,9.726,4.197,52798
949,9.731,4.203,52326
950,9.735,4.210,51699
951,9.740,4.216,51260
952,9.744,4.223,50314
953,9.749,4.229,48995
954,9.753,4.236,47240
955,9.758,4.242,46387
956,9.762,4.249,44139
957,9.767,4.255,41673
958,9.771,4.262,40753
959,9.775,4.268,38268
960,9.780,4.275,35897
961,9.784,4.281,35183
962,9.788,4.288,33139
963,9.793,4.294,31379
964,9.797,4.301,30939
965,9.801,4.307,29611
966,9.805,4.314,28629
967,9.810,4.320,28490
968,9.814,4.327,27986
969,9.818,4.333,28016
970,9.822,4.340,27884
971,9.826,4.346,27963
972,9.831,4.353,28216
973,9.835,4.359,28664
